trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
266,2024-06-10 23:00:00,2024-06-10 23:05:00,SHORT,2309.12,2309.2,2309.2,2309.2,2308.96,2308.87,False,1.26,-8.0,-10.08,bearish,2024-06-10 22:55:00,sl_hit,london_primary,7962,7963,1
267,2024-06-11 01:15:00,2024-06-11 01:20:00,LONG,2311.5,2311.42,2311.42,2311.42,2311.66,2311.75,False,1.23,-8.0,-9.84,bullish,2024-06-11 01:10:00,sl_hit,ny_overlap,7977,7978,1
268,2024-06-11 01:50:00,2024-06-11 01:55:00,SHORT,2309.83,2309.91,2309.91,2309.91,2309.67,2309.58,False,1.21,-8.0,-9.68,bearish,2024-06-11 01:45:00,sl_hit,ny_overlap,7984,7985,1
269,2024-06-11 21:40:00,2024-06-11 21:45:00,SHORT,2313.36,2313.44,2313.44,2313.44,2313.2,2313.11,False,1.18,-8.0,-9.44,bearish,2024-06-11 21:35:00,sl_hit,london_primary,8222,8223,1
270,2024-06-11 22:05:00,2024-06-11 22:10:00,LONG,2314.21,2314.46,2314.13,2314.21,2314.37,2314.46,True,1.16,25.0,29.0,bullish,2024-06-11 22:00:00,tp2_hit,london_primary,8227,8228,1
271,2024-06-11 22:30:00,2024-06-11 22:35:00,SHORT,2312.83,2312.91,2312.91,2312.91,2312.67,2312.58,False,1.23,-8.0,-9.84,bearish,2024-06-11 22:25:00,sl_hit,london_primary,8232,8233,1
272,2024-06-11 22:40:00,2024-06-11 22:45:00,LONG,2313.9,2314.15,2313.82,2313.9,2314.06,2314.15,True,1.21,25.0,30.25,bullish,2024-06-11 22:35:00,tp2_hit,london_primary,8234,8235,1
273,2024-06-11 22:50:00,2024-06-11 22:55:00,LONG,2315.09,2315.01,2315.01,2315.01,2315.25,2315.34,False,1.28,-8.0,-10.24,bullish,2024-06-11 22:45:00,sl_hit,london_primary,8236,8237,1
274,2024-06-12 01:10:00,2024-06-12 01:15:00,SHORT,2315.9,2315.98,2315.98,2315.98,2315.74,2315.65,False,1.26,-8.0,-10.08,bearish,2024-06-12 01:05:00,sl_hit,ny_overlap,8252,8253,1
275,2024-06-12 01:35:00,2024-06-12 01:40:00,LONG,2316.67,2316.59,2316.59,2316.59,2316.83,2316.92,False,1.23,-8.0,-9.84,bullish,2024-06-12 01:30:00,sl_hit,ny_overlap,8257,8258,1
