Date;Open;High;Low;Close;Volume
2024.05.31 07:55;2343.2;2344.55;2343.13;2344.17;278
2024.05.31 08:00;2344.16;2344.4;2343.17;2343.25;290
2024.05.31 08:05;2343.28;2343.28;2342.66;2343.13;309
2024.05.31 08:10;2343.13;2343.37;2342.24;2342.65;227
2024.05.31 08:15;2342.66;2343.3;2342.66;2343.15;191
2024.05.31 08:20;2343.18;2344.0;2342.87;2342.94;226
2024.05.31 08:25;2342.92;2343.23;2341.9;2342.75;310
2024.05.31 08:30;2342.75;2344.18;2342.67;2343.52;400
2024.05.31 08:35;2343.56;2344.95;2343.12;2343.81;370
2024.05.31 08:40;2343.81;2343.99;2342.77;2342.77;298
2024.05.31 08:45;2342.8;2344.21;2342.71;2343.78;265
2024.05.31 08:50;2343.8;2344.14;2342.81;2343.03;276
2024.05.31 08:55;2343.02;2343.27;2341.76;2342.47;350
2024.05.31 09:00;2342.34;2343.73;2342.05;2343.68;310
2024.05.31 09:05;2343.69;2345.09;2343.24;2344.08;339
2024.05.31 09:10;2344.08;2344.39;2343.06;2343.21;334
2024.05.31 09:15;2343.21;2344.94;2343.21;2344.28;353
2024.05.31 09:20;2344.27;2344.74;2343.09;2343.28;333
2024.05.31 09:25;2343.29;2343.94;2342.77;2343.3;265
2024.05.31 09:30;2343.29;2343.86;2342.76;2343.2;328
2024.05.31 09:35;2343.22;2344.5;2342.91;2344.5;330
2024.05.31 09:40;2344.54;2345.31;2344.21;2345.25;353
2024.05.31 09:45;2345.19;2346.19;2344.76;2345.87;376
2024.05.31 09:50;2345.87;2346.19;2344.89;2345.02;356
2024.05.31 09:55;2345.33;2347.06;2345.3;2345.89;381
2024.05.31 10:00;2345.73;2345.79;2344.25;2344.28;358
2024.05.31 10:05;2344.21;2344.61;2343.51;2343.94;370
2024.05.31 10:10;2343.82;2344.91;2343.8;2344.34;322
2024.05.31 10:15;2344.33;2344.68;2343.93;2344.64;295
2024.05.31 10:20;2344.66;2344.68;2343.06;2343.39;338
2024.05.31 10:25;2343.4;2344.18;2343.32;2343.6;292
2024.05.31 10:30;2343.61;2343.61;2342.1;2342.48;316
2024.05.31 10:35;2342.49;2343.25;2341.54;2342.2;310
2024.05.31 10:40;2342.2;2342.86;2341.86;2342.34;290
2024.05.31 10:45;2342.35;2342.41;2340.76;2341.04;306
2024.05.31 10:50;2341.04;2341.55;2340.47;2340.59;289
2024.05.31 10:55;2340.59;2341.04;2339.96;2340.43;308
2024.05.31 11:00;2340.44;2341.15;2339.72;2340.68;295
2024.05.31 11:05;2340.58;2342.34;2340.47;2341.49;313
2024.05.31 11:10;2341.49;2342.07;2340.76;2341.35;297
2024.05.31 11:15;2341.34;2342.26;2340.88;2342.21;318
2024.05.31 11:20;2342.22;2342.77;2341.68;2341.79;256
2024.05.31 11:25;2341.74;2342.14;2340.96;2341.94;323
2024.05.31 11:30;2341.94;2343.04;2341.6;2341.79;285
2024.05.31 11:35;2341.71;2342.57;2341.5;2342.1;289
2024.05.31 11:40;2342.09;2342.88;2342.08;2342.8;250
2024.05.31 11:45;2342.73;2343.51;2342.55;2343.47;264
2024.05.31 11:50;2343.43;2343.83;2342.78;2342.89;287
2024.05.31 11:55;2342.77;2343.89;2342.6;2343.27;260
2024.05.31 12:00;2343.26;2343.34;2341.57;2341.6;323
2024.05.31 12:05;2341.68;2341.71;2341.03;2341.58;283
2024.05.31 12:10;2341.6;2342.9;2341.56;2342.67;286
2024.05.31 12:15;2342.68;2343.45;2342.68;2343.12;272
2024.05.31 12:20;2343.12;2344.51;2342.98;2343.46;347
2024.05.31 12:25;2343.4;2343.94;2342.73;2343.15;231
2024.05.31 12:30;2343.05;2343.75;2341.75;2342.15;271
2024.05.31 12:35;2342.16;2343.16;2341.89;2343.16;234
2024.05.31 12:40;2343.18;2343.4;2342.3;2342.37;245
2024.05.31 12:45;2342.38;2342.67;2342.15;2342.61;257
2024.05.31 12:50;2342.61;2343.09;2342.06;2342.56;215
2024.05.31 12:55;2342.5;2342.66;2341.63;2342.15;263
2024.05.31 13:00;2342.07;2342.82;2341.6;2342.8;280
2024.05.31 13:05;2342.8;2343.31;2342.48;2342.84;291
2024.05.31 13:10;2342.79;2343.69;2342.66;2343.68;253
2024.05.31 13:15;2343.68;2343.69;2343.26;2343.31;243
2024.05.31 13:20;2343.41;2343.7;2342.77;2342.85;238
2024.05.31 13:25;2342.85;2342.91;2341.84;2342.16;232
2024.05.31 13:30;2342.17;2342.95;2341.84;2342.53;255
2024.05.31 13:35;2342.53;2342.99;2342.05;2342.15;304
2024.05.31 13:40;2342.15;2343.39;2342.14;2343.24;341
2024.05.31 13:45;2343.25;2344.14;2342.78;2343.18;244
2024.05.31 13:50;2343.21;2343.83;2342.79;2343.37;246
2024.05.31 13:55;2343.37;2344.56;2343.29;2344.02;265
2024.05.31 14:00;2344.02;2344.54;2343.54;2343.83;318
2024.05.31 14:05;2343.83;2343.98;2343.09;2343.86;275
2024.05.31 14:10;2343.86;2344.48;2343.58;2344.46;285
2024.05.31 14:15;2344.46;2344.91;2343.67;2344.46;255
2024.05.31 14:20;2344.47;2344.52;2343.41;2344.2;263
2024.05.31 14:25;2344.21;2344.32;2342.81;2343.72;295
2024.05.31 14:30;2343.72;2343.89;2342.69;2343.76;272
2024.05.31 14:35;2343.89;2344.01;2342.97;2343.95;262
2024.05.31 14:40;2343.94;2344.79;2343.84;2344.24;265
2024.05.31 14:45;2344.25;2344.64;2343.71;2344.0;261
2024.05.31 14:50;2344.0;2344.58;2343.5;2344.14;292
2024.05.31 14:55;2344.04;2344.04;2343.29;2343.92;289
2024.05.31 15:00;2343.84;2343.96;2342.48;2342.63;371
2024.05.31 15:05;2342.63;2344.1;2342.63;2343.62;326
2024.05.31 15:10;2343.63;2344.53;2343.44;2343.98;352
